Tariff,Goods Description,Official Description
7113192900,GOLD JEWELRY,"GOLD NECKLACES AND NECK CHAINS, NESOI"
7113192900,GOLD PENDANT,"GOLD NECKLACES AND NECK CHAINS, NESOI"
7113195090,GOLD RING,"GOLD JEWELRY AND PARTS THEREOF, NESOI"
3305900000,HAIR OIL,"PREPARATIONS FOR USE ON THE HAIR, NESOI"
9603109000,HAND BROOM,"BROOMS & BRUSHES,CONSISTING OF TWIGS OR OTHER VEGETABLE MATERIALS BOUND TOGETHER,WITH OR WITHOUT HANDLES,NESOI"
6505003090,HAT,"HATS AND OTHER HEADGEAR, KNITTED OR CROCHETED, OR MADE FROM LIKE FABRIC, OTHER HEADWEAR, OTHER THAN FOR BABIES, OF WOOL"
3307410000,INCENSE,AGARBATTI AND OTHER ODORIFEROUS PREPARATIONS WHICH OPERATE BY BURNING
7326908688,IRON FENCE,"ARTICLES OF IRON OR STEEL, NESOI"
1701914800,JAGGERY POWDER,"CANE OR BEET SUGAR AND CHEMICALLY PURE SUCROSE, SOLID, REFINED, CONTAINING ADDED FLAVORING/COLORING ,CONT GT 65% SUGAR(ADDTL U S NOTE 2), NESOI"
0603900000,JASMINE,Code not found
7323930060,JUICER,"KITCHEN WARE OF STAINLESS STEEL, NESOI, AND PARTS"
4202922000,JUTE BACKPACK,"TRAVEL,SPORTS AND SIMILAR BAGS,OUTER SURFACE EXCEPT OF COTTON"
7323940026,KADAI,"OTHER COOKING WARE, OF IRON (OTHER THAN CAST IRON) OR STEEL, ENAMELED, NESOI"
7326200090,KEY CHAIN,"ARTICLES OF IRON OR STEEL WIRE, NESOI"
3304910050,KUM KUM POWDER,"BEAUTY OR MAKE-UP POWDER, WHETHER OR NOT COMPRESSED, NESOI"
3304910050,KUMKUM,"BEAUTY OR MAKE-UP POWDER, WHETHER OR NOT COMPRESSED, NESOI"
3304910050,KUMKUM POWDER,"BEAUTY OR MAKE-UP POWDER, WHETHER OR NOT COMPRESSED, NESOI"
6211329081,KURTA,"MEN'S OR BOYS' OTHER APPAREL, OF COTTON, NOT KNITTED NESOI"
6206303045,L TOPS,"WOMEN'S BLOUSES, SHIRTS AND SHIRT-BLOUSES OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
8215993500,LADLE,"SPOONS AND LADLES, STAINLESS STEEL HANDLES, 25 CENTS OR MORE EACH"
9405114010,LAMP,"LED HOUSEHOLD CHANDELIER AND OTHER ELEC CEILING OR WALL LIGHTING FITTINGS, EXCLD THOSE USED IN LIGHTING PUBLIC OPEN SPACES OR THOROUGHFARES OF BRASS"
9405214010,LAMP,"LED HOUSEHOLD ELECTRIC TABLE, DESK, BEDSIDE OR FLOORSTANDING LAMPS OF BRASS"
1515908190,LAMP OIL,"FIXED VEGETABLE FATS AND OILS AND THEIR FRACTIONS NESOI, WHETHER OR NOT REFINED BUT NOT CHEMICALLY MODIFIED"
4601999000,LEAF BOWL,"PLAITS AND SIMILAR PRODUCTS OF PLAITING MATERIALS (EXCEPT VEGETALBE MATERIALS), NESOI"
6211329081,M C KURTA,"MEN'S OR BOYS' OTHER APPAREL, OF COTTON, NOT KNITTED NESOI"
6203424518,M C PANT,"MEN'S TROUSERS AND BREECHES OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
6211329081,M KURTA,"MEN'S OR BOYS' OTHER APPAREL, OF COTTON, NOT KNITTED NESOI"
6203424518,M PANT,"MEN'S TROUSERS AND BREECHES OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
